3306,3346,3384
3346,3422,3384
3458,3421,3495
3305,3224,3265
3224,3305,3264
2925,2834,2880
2834,2879,2787
2879,2833,2787
2833,2879,2924
2925,2879,2834
3053,3097,3139
3140,3097,3054
3097,3010,3054
3097,3053,3010
2685,2779,2732
2779,2685,2733
2637,2685,2732
2685,2637,2590
2591,2543,2495
3094,2962,3007
2917,2962,3094
2962,2917,2872
2964,2920,3009
2962,2918,3007
2918,2962,2872
2780,2827,2872
2873,2827,2781
2827,2734,2781
2734,2827,2780
2827,2918,2872
2918,2827,2873
2920,2829,2875
2828,2873,2781
3304,3223,3264
3223,3304,3263
3051,3137,3094
3094,3137,3303
3137,3180,3303
3096,3053,3139
3053,3096,3009
3598,3528,3564
3631,3598,3632
3598,3564,3632
3338,3416,3377
3416,3453,3377
3453,3416,3491
3416,3454,3491
3262,3302,3220
3302,3262,3457
3342,3302,3457
3492,3417,3455
3454,3417,3492
3418,3493,3455
3493,3418,3456
3178,3262,3220
3093,3050,3179
3092,3048,3004
3133,3175,3089
3177,3219,3134
2959,3048,3003
3048,2959,3004
2773,2678,2726
2678,2773,2725
2339,2289,2240
2289,2338,2239
2338,2387,2288
2387,2337,2288
2436,2387,2338
2387,2436,2484
2287,2386,2336
2386,2287,2337
2489,2537,2440
2488,2537,2585
2537,2488,2440
2871,2825,3006
2825,2871,2778
2586,2489,2538
2489,2586,2537
2492,2444,2541
2486,2535,2583
2388,2436,2338
2388,2289,2339
2289,2388,2338
3662,3629,3596
3527,3453,3491
3453,3527,3490
3692,3662,3721
3692,3720,3661
3629,3692,3661
3692,3629,3662
3748,3692,3721
3692,3748,3720
3720,3691,3661
3660,3691,3719
3805,3825,3782
3825,3805,3844
3805,3826,3844
3845,3872,3860
3845,3826,3806
3826,3845,3860
3862,3828,3847
265,333,298
265,298,232
233,265,232
332,297,264
331,297,367
297,332,367
366,440,402
403,440,366
444,406,370
406,443,369
337,372,302
372,337,409
234,203,267
300,234,267
119,145,232
268,235,204
203,235,267
120,146,119
121,147,95
147,120,95
301,335,267
235,301,267
301,235,268
335,371,407
301,371,335
445,482,407
371,445,407
596,555,516
515,555,595
680,637,596
555,637,595
637,555,596
637,680,722
678,635,594
636,678,594
635,678,720
678,636,721
678,763,720
763,678,721
808,764,722
334,300,370
334,406,369
406,334,370
53,75,98
18,35,34
35,53,34
35,18,54
75,35,54
35,75,53
18,36,54
36,76,54
148,177,206
177,148,122
148,96,122
96,148,121
73,97,122
97,149,122
97,123,149
52,97,73
339,375,411
53,74,34
74,52,34
74,53,98
74,97,52
123,74,98
97,74,123
30,16,17
15,16,29
17,16,5
16,15,5
84,62,44
26,62,43
62,26,44
27,44,13
4,27,13
63,84,44
63,45,85
27,63,44
63,27,45
25,42,11
42,24,11
24,42,60
61,42,25
42,82,60
82,42,61
776,734,820
998,953,1045
1091,998,1045
1138,1091,1045
1137,1091,1185
1091,1138,1185
775,733,819
732,775,818
775,863,818
863,775,819
344,310,380
129,104,156
184,129,156
104,130,156
215,247,279
8,7,0
7,8,21
58,80,103
80,129,103
129,80,104
69,50,33
90,114,139
113,90,139
90,69,114
69,90,50
165,113,139
50,32,33
32,17,33
32,31,17
108,63,85
63,108,84
16,47,29
47,16,30
1870,1920,1969
1770,1819,1720
1819,1869,1918
1770,1869,1819
1821,1870,1771
1821,1772,1871
1920,1821,1871
1821,1920,1870
1819,1769,1720
1769,1818,1719
2117,2167,2216
1772,1822,1871
1872,1822,1773
1822,1723,1773
1723,1822,1772
1822,1921,1871
1921,1822,1872
865,910,820
910,864,820
864,910,954
910,865,955
1000,910,955
910,1000,954
865,911,955
956,911,866
1526,1576,1624
1428,1526,1477
1628,1678,1727
1678,1580,1629
1580,1678,1628
1527,1479,1577
1479,1527,1429
1725,1775,1824
1775,1726,1825
1775,1874,1824
1874,1775,1825
1676,1775,1725
1775,1676,1726
1726,1776,1825
1826,1776,1727
1825,1776,1875
1776,1826,1875
1727,1776,1677
1776,1726,1677
1528,1626,1577
1626,1676,1725
1576,1674,1624
1674,1723,1624
1674,1724,1773
1723,1674,1773
1774,1725,1824
1724,1774,1823
1873,1774,1824
1774,1873,1823
1427,1379,1477
1379,1428,1477
1428,1379,1332
1331,1379,1427
1382,1480,1430
1333,1381,1429
1381,1333,1285
1333,1237,1285
2028,1978,1929
1681,1631,1583
1631,1533,1583
1631,1681,1730
837,881,793
927,837,882
881,837,927
974,929,884
1113,1020,1067
502,540,464
540,502,580
118,144,170
118,94,172
144,118,172
171,144,172
839,796,884
929,839,884
710,753,795
796,753,711
753,839,795
839,753,796
880,925,835
1345,1249,1297
1107,1014,1061
1014,1107,1060
536,498,576
539,501,579
501,539,463
577,538,618
538,578,618
538,577,499
462,538,499
463,389,426
1242,1195,1290
1052,1098,1005
1052,1006,1099
1006,1053,1099
1053,1007,1100
1146,1053,1100
1053,1146,1099
1007,1053,961
1053,1006,961
1195,1243,1290
1243,1339,1290
1101,1148,1195
1196,1148,1102
1148,1243,1195
